concept,cogid,form_a,form_b,seg_a,seg_b,differing_features
belate,3747,demoɾaɾ,ɐtɾɐzaɾ,ɾ,z,"strid,hi,lo,son"
belate,3747,rɛtɾasaɾ,dɨmuɾaɾ,r,d,"cont,hi,lo,son"
belate,3747,rɛtɾasaɾ,dɨmuɾaɾ,s,ɾ,"voi,strid,hi,lo,son"
belate,3747,rɛtɾasaɾ,dɨmuɾaɾ,t,m,"voi,nas,cor,lab,son"
belate,3747,rɛtɾasaɾ,ɐtɾɐzaɾ,s,z,voi
belate,3747,taɾðaɾ,dɨmuɾaɾ,t,d,voi
belate,3747,taɾðaɾ,dɨmuɾaɾ,ð,ɾ,"hi,lo,son"
belate,3747,taɾðaɾ,dɨmuɾaɾ,ɾ,m,"cont,nas,cor,lab,hi,lo"
belate,3747,taɾðaɾ,ɐtɾɐzaɾ,ð,z,strid
bend,3990,doβlaɾ,dubɾaɾ,l,ɾ,"hi,lo"
bend,3990,doβlaɾ,dubɾaɾ,β,b,cont
bend,3990,doβlaɾ,kuɾvaɾ,d,k,"voi,ant,cor,back,hi"
bend,3990,doβlaɾ,kuɾvaɾ,l,v,"cor,lab,strid,son"
bend,3990,doβlaɾ,kuɾvaɾ,β,ɾ,"cor,lab,hi,lo,son"
bend,3990,enkoɾβaɾ,dubɾaɾ,n,d,"nas,son"
bend,3990,enkoɾβaɾ,dubɾaɾ,ɾ,b,"cont,cor,lab,hi,lo,son"
bend,3990,enkoɾβaɾ,dubɾaɾ,β,ɾ,"cor,lab,hi,lo,son"
bend,3990,enkoɾβaɾ,kuɾvaɾ,β,v,strid
beside,4095,al+laðo+ðe,ɐu+ladu+dɨ,ð,d,cont
beside,4095,al+laðo+ðe,ɐu+ladu+dɨ,ð,d,cont
beverage,4214,beβiða,bɨbidɐ,ð,d,cont
beverage,4214,beβiða,bɨbidɐ,β,b,cont
bird,4358,paxaɾo,pasɐɾu,x,s,"ant,cor,back,strid,hi"
bird,4372,aβe,avɨ,β,v,strid
bite,4426,moɾðɛɾ,muɾdeɾ,ð,d,cont
bitter,4476,amaɾɣo,ɐmaɾgu,ɣ,g,cont
bless,4616,bendeθiɾ,ɐbɐ̃ĩsuaɾ,d,s,"cont,voi,strid"
blink,4680,paɾpaðeaɾ,pɨʃtɐnɨʒaɾ,p,t,"cor,lab"
blink,4680,paɾpaðeaɾ,pɨʃtɐnɨʒaɾ,ð,n,"cont,nas,son"
blink,4680,paɾpaðeaɾ,pɨʃtɐnɨʒaɾ,ɾ,ʃ,"voi,ant,strid,hi,lo,son"
blink,4680,pɛstaɲeaɾ,pɨʃtɐnɨʒaɾ,s,ʃ,ant
blink,4680,pɛstaɲeaɾ,pɨʃtɐnɨʒaɾ,ɲ,n,"ant,cor,hi"
blister,4698,ampoʎa,bɔʎɐ,p,b,voi
blister,4698,ampoʎa,ẽpɔlɐ,ʎ,l,"ant,hi"
bloodvessel,4759,bena,vɐiɐ,b,v,"cont,strid"
boarmalepig,5001,xaβali,bɐʁɐ̃ũ,l,ʁ,"ant,cor,back,strid,son"
boarmalepig,5001,xaβali,bɐʁɐ̃ũ,β,b,cont
boarmalepig,5001,xaβali,vɐʁɐ̃ũ,l,ʁ,"ant,cor,back,strid,son"
boarmalepig,5001,xaβali,vɐʁɐ̃ũ,β,v,strid
boilofliquid,5207,ɛɾβiɾ,fɨɾveɾ,β,v,strid
book,5376,liβɾo,livɾu,β,v,strid
booty,5425,botin,piʎaʒɐ̃ĩ,b,p,voi
booty,5425,botin,piʎaʒɐ̃ĩ,n,ʒ,"cont,nas,ant,strid,son"
booty,5425,botin,piʎaʒɐ̃ĩ,t,ʎ,"cont,voi,ant,hi,son"
borrow,5504,peðiɾ+pɾɛstaðo,pɨdiɾ+ẽpɾɨʃtadu,s,ʃ,ant
borrow,5504,peðiɾ+pɾɛstaðo,pɨdiɾ+ẽpɾɨʃtadu,ð,d,cont
borrow,5504,peðiɾ+pɾɛstaðo,pɨdiɾ+ẽpɾɨʃtadu,ð,d,cont
boundary,5627,limite,fɾõtɐiɾɐ,l,f,"voi,cor,lab,strid,son"
boundary,5627,limite,fɾõtɐiɾɐ,t,ɾ,"cont,voi,hi,lo,son"
bowl,5684,taθon,bɐsiɐ,t,b,"voi,cor,lab"
bowl,5684,taθon,bɐsiɐ,θ,s,strid
bracelet,5775,bɾaθalɛte,bɾɐsɨlɛtɨ,θ,s,strid
bracelet,5775,bɾaθalɛte,pulˠsɐiɾɐ,b,p,voi
bracelet,5775,bɾaθalɛte,pulˠsɐiɾɐ,l,s,"voi,strid,son"
bracelet,5775,bɾaθalɛte,pulˠsɐiɾɐ,t,ɾ,"cont,voi,hi,lo,son"
bracelet,5775,bɾaθalɛte,pulˠsɐiɾɐ,θ,lˠ,"voi,hi,son"
bracelet,5775,pulsɛɾa,bɾɐsɨlɛtɨ,l,s,"voi,strid,son"
bracelet,5775,pulsɛɾa,bɾɐsɨlɛtɨ,p,b,voi
bracelet,5775,pulsɛɾa,bɾɐsɨlɛtɨ,s,l,"voi,strid,son"
bracelet,5775,pulsɛɾa,bɾɐsɨlɛtɨ,ɾ,t,"cont,voi,hi,lo,son"
bracelet,5775,pulsɛɾa,pulˠsɐiɾɐ,l,lˠ,hi
brackish,5800,saloβɾe,sɐlɔbɾɨ,β,b,cont
braid,5820,tɾenθaɾ,tɾɐ̃sɐ,θ,s,strid
brain,5852,θɛɾeβɾo,sɛɾɨbɾu,β,b,cont
brain,5852,θɛɾeβɾo,sɛɾɨbɾu,θ,s,strid
brain,5853,sesos,mjɔluʃ,s,j,"voi,ant,cor,strid,hi,son"
brain,5853,sesos,mjɔluʃ,s,l,"voi,strid,son"
brain,5853,sesos,mjɔluʃ,s,ʃ,ant
branchortwig,5890,rama,ʁɐmu,r,ʁ,"ant,cor,back,strid,hi,lo,son"
brassinstrumenthornortrumpet,5900,koɾnɛta,tɾõbɛtɐ,k,t,"ant,cor,back,hi"
brassinstrumenthornortrumpet,5900,koɾnɛta,tɾõbɛtɐ,n,b,"nas,cor,lab,son"
brassinstrumenthornortrumpet,5900,tɾompa,kuɾnɛtɐ,p,t,"cor,lab"
brassinstrumenthornortrumpet,5900,tɾompa,kuɾnɛtɐ,t,k,"ant,cor,back,hi"
brassinstrumenthornortrumpet,5900,tɾompa,tɾõbɛtɐ,m,b,"nas,son"
brassinstrumenthornortrumpet,5900,tɾompa,tɾõbɛtɐ,p,t,"cor,lab"
brassinstrumenthornortrumpet,5900,tɾompɛta,kuɾnɛtɐ,m,ɾ,"cont,nas,cor,lab,hi,lo"
brassinstrumenthornortrumpet,5900,tɾompɛta,kuɾnɛtɐ,p,n,"voi,nas,cor,lab,son"
brassinstrumenthornortrumpet,5900,tɾompɛta,kuɾnɛtɐ,t,k,"ant,cor,back,hi"
brassinstrumenthornortrumpet,5900,tɾompɛta,tɾõbɛtɐ,p,b,voi
brave,5940,baljente,kuɾɐʒɔzu,b,k,"voi,ant,lab,back,hi"
brave,5940,baljente,kuɾɐʒɔzu,l,ɾ,"hi,lo"
brave,5940,baljente,kuɾɐʒɔzu,t,z,"cont,voi,strid"
breakdestroyorgetdestroyed,6047,keβɾaɾ,kwɨbɾaɾ,β,b,cont
breakdestroyorgetdestroyed,6047,keβɾaɾ,ʁõpeɾ,k,ʁ,"cont,voi,strid,hi"
