concept,cogid,form_a,form_b,seg_a,seg_b,differing_features
coat,9578,aβɾiɣo,kɐzaku,ɾ,z,"strid,hi,lo,son"
coat,9578,sako,kɐzaku,s,z,voi
coin,9631,moneða,muɛdɐ,ð,d,cont
collar,9750,kweʎo,kulɐɾiɲu,ʎ,ɾ,"ant,hi,lo"
collarbone,9796,klaβikula,klɐvikulɐ,β,v,strid
comb,9864,peine,pẽtɨ,n,t,"voi,nas,son"
come,9920,beniɾ,viɾ,b,v,"cont,strid"
comeback,9955,reɣɾesaɾ,ʁɨgɾɨsaɾ,r,ʁ,"ant,cor,back,strid,hi,lo,son"
comeback,9955,reɣɾesaɾ,ʁɨgɾɨsaɾ,ɣ,g,cont
comeback,9967,bolβɛɾ,vɔlˠtaɾ,b,v,"cont,strid"
comeback,9967,bolβɛɾ,vɔlˠtaɾ,l,lˠ,hi
comeback,9967,bolβɛɾ,vɔlˠtaɾ,β,t,"cont,voi,cor,lab"
command,10016,oɾðenaɾ,mɐ̃daɾ,n,d,"nas,son"
command,10016,oɾðenaɾ,mɐ̃daɾ,ð,m,"cont,nas,cor,lab,son"
commoncolddisease,10039,kataro,gɾipɨ,k,g,voi
commoncolddisease,10039,kataro,gɾipɨ,r,p,"cont,voi,cor,lab,hi,lo,son"
commoncolddisease,10039,kataro,gɾipɨ,t,ɾ,"cont,voi,hi,lo,son"
commoncolddisease,10039,kataro,ʁɨʃfɾjadu,k,ʁ,"cont,voi,strid,hi"
commoncolddisease,10039,kataro,ʁɨʃfɾjadu,r,d,"cont,hi,lo,son"
commoncolddisease,10039,kataro,ʁɨʃfɾjadu,t,ʃ,"cont,ant,strid"
commoncolddisease,10039,rɛsfɾjaðo,gɾipɨ,f,g,"cont,voi,ant,lab,back,strid,hi"
commoncolddisease,10039,rɛsfɾjaðo,gɾipɨ,ð,p,"cont,voi,cor,lab"
commoncolddisease,10039,rɛsfɾjaðo,ʁɨʃfɾjadu,r,ʁ,"ant,cor,back,strid,hi,lo,son"
commoncolddisease,10039,rɛsfɾjaðo,ʁɨʃfɾjadu,s,ʃ,ant
commoncolddisease,10039,rɛsfɾjaðo,ʁɨʃfɾjadu,ð,d,cont
conceive,10099,konθeβiɾ,kõsɨbeɾ,β,b,cont
conceive,10099,konθeβiɾ,kõsɨbeɾ,θ,s,strid
convict,10228,kondenaɾ,sẽtẽsjaɾ,k,s,"cont,ant,cor,back,strid,hi"
convict,10228,kondenaɾ,sẽtẽsjaɾ,n,j,"cont,nas,ant,cor,hi"
convict,10228,kondenaɾ,sẽtẽsjaɾ,n,t,"voi,nas,son"
cooked,10247,koθinaðo,kuzidu,ð,d,cont
cooked,10247,koθinaðo,kuzidu,θ,z,"voi,strid"
cooked,10247,koθinaðo,kuziɲadu,n,ɲ,"ant,cor,hi"
cooked,10247,koθinaðo,kuziɲadu,ð,d,cont
cooked,10247,koθinaðo,kuziɲadu,θ,z,"voi,strid"
cooked,10247,koθiðo,kuzidu,ð,d,cont
cooked,10247,koθiðo,kuzidu,θ,z,"voi,strid"
cooked,10247,koθiðo,kuziɲadu,ð,d,cont
cooked,10247,koθiðo,kuziɲadu,θ,z,"voi,strid"
cookhouse,10267,koθina,kuziɲɐ,n,ɲ,"ant,cor,hi"
cookhouse,10267,koθina,kuziɲɐ,θ,z,"voi,strid"
cookingpot,10294,oʎa,pɐnɛlɐ,ʎ,l,"ant,hi"
copulate,10387,tenɛɾ+relaθjones+sɛkswales,teɾ+ʁɨlɐsõĩʃ+sɨkswaiʃ,r,ʁ,"ant,cor,back,strid,hi,lo,son"
copulate,10387,tenɛɾ+relaθjones+sɛkswales,teɾ+ʁɨlɐsõĩʃ+sɨkswaiʃ,s,ʃ,ant
copulate,10387,tenɛɾ+relaθjones+sɛkswales,teɾ+ʁɨlɐsõĩʃ+sɨkswaiʃ,s,ʃ,ant
copulate,10387,tenɛɾ+relaθjones+sɛkswales,teɾ+ʁɨlɐsõĩʃ+sɨkswaiʃ,θ,s,strid
corner,10431,rinkon,skinɐ,k,n,"voi,nas,ant,cor,back,hi,son"
corner,10431,rinkon,skinɐ,r,s,"voi,strid,hi,lo,son"
corner,10435,ɛskina,kɐ̃tu,n,t,"voi,nas,son"
corpse,10479,kaðaβɛɾ,kɐdavɨɾ,ð,d,cont
corpse,10479,kaðaβɛɾ,kɐdavɨɾ,β,v,strid
country,10688,pais,pɐiʃ,s,ʃ,ant
court,10733,tɾiβunal,tɾibunalˠ,l,lˠ,hi
court,10733,tɾiβunal,tɾibunalˠ,β,b,cont
cow,10817,baka,vakɐ,b,v,"cont,strid"
crawlorcreep,10922,gateaɾ,ɐʁɐʃtaɾsɨ,g,ʁ,"cont,strid,hi"
crawlorcreep,10922,gateaɾ,ɐʁɐʃtaɾsɨ,t,ʃ,"cont,ant,strid"
crawlorcreep,10922,gateaɾ,ʁɐʃtɨʒaɾ,g,ʁ,"cont,strid,hi"
crooked,11022,toɾθiðo,tuɾsidu,ð,d,cont
crooked,11022,toɾθiðo,tuɾsidu,θ,s,strid
crooked,11022,toɾθiðo,tɔɾtu,θ,t,cont
cross,11053,kɾuθ,kɾuʃ,θ,ʃ,"ant,strid"
crouch,11097,aɣatʃaɾse,ɐgɐʃaɾsɨ,ɣ,g,cont
crow,11136,kwɛɾβo,kɔɾvu,β,v,strid
cry,11237,ʎoɾaɾ,ʃuɾaɾ,ʎ,ʃ,"voi,strid,hi,son"
cultivate,11303,laβɾaɾ,kulˠtivaɾ,l,k,"cont,voi,ant,cor,back,hi,son"
cultivate,11303,laβɾaɾ,kulˠtivaɾ,ɾ,t,"cont,voi,hi,lo,son"
cultivate,11303,laβɾaɾ,kulˠtivaɾ,β,lˠ,"cor,lab,hi,son"
cup,11344,kopa,ʃikɐɾɐ,p,ɾ,"cont,voi,cor,lab,hi,lo,son"
cup,11344,taθa,ʃikɐɾɐ,t,ʃ,"cont,ant,strid"
cup,11344,taθa,ʃikɐɾɐ,θ,ɾ,"voi,hi,lo,son"
cure,11396,kuɾaɾ,sɐɾaɾ,k,s,"cont,ant,cor,back,strid,hi"
cure,11396,sanaɾ,sɐɾaɾ,n,ɾ,"cont,nas,hi,lo"
curse,11448,maldeθiɾ,ɐmalˠdisuaɾ,l,lˠ,hi
curse,11448,maldeθiɾ,ɐmalˠdisuaɾ,θ,s,strid
custom,11485,kostumbɾe,kuʃtumɨ,s,ʃ,ant
cutdown,11542,talaɾ,dɨʁubaɾ,l,b,"cont,cor,lab,son"
cutdown,11542,talaɾ,dɨʁubaɾ,t,d,voi
damageorinjure,11630,daɲaɾ,dɐnifikaɾ,ɲ,k,"voi,nas,back,son"
damageorinjure,11630,daɲaɾ,fɨɾiɾ,d,f,"cont,voi,cor,lab,strid"
damageorinjure,11630,daɲaɾ,fɨɾiɾ,ɲ,ɾ,"cont,nas,ant,cor,hi,lo"
damageorinjure,11630,daɲaɾ,ʃtɾɐgaɾ,d,t,voi
damageorinjure,11630,daɲaɾ,ʃtɾɐgaɾ,ɲ,g,"nas,back,son"
dance,11692,bailaɾ,dɐ̃saɾ,b,d,"cor,lab"
dance,11692,bailaɾ,dɐ̃saɾ,l,s,"voi,strid,son"
dandruff,11741,kaspa,kaʃpɐ,s,ʃ,ant
danger,11751,peliɣɾo,pɨɾigu,l,ɾ,"hi,lo"
danger,11751,peliɣɾo,pɨɾigu,ɣ,g,cont
darkness,11865,tinjeβlas,ʃkuɾidɐ̃ũ,j,ɾ,"ant,cor,hi,lo"
darkness,11865,tinjeβlas,ʃkuɾidɐ̃ũ,l,d,"cont,son"
darkness,11865,tinjeβlas,ʃkuɾidɐ̃ũ,t,ʃ,"cont,ant,strid"
dawn,11995,amaneθɛɾ,ɐmɐɲɨseɾ,n,ɲ,"ant,cor,hi"
dawn,11995,amaneθɛɾ,ɐmɐɲɨseɾ,θ,s,strid
dawn,12004,maðɾuɣaða,alˠvuɾadɐ,ð,d,cont
dawn,12004,maðɾuɣaða,alˠvuɾadɐ,ð,lˠ,"hi,son"
dawn,12004,maðɾuɣaða,alˠvuɾadɐ,ɣ,ɾ,"ant,cor,back,hi,lo,son"
dawn,12004,maðɾuɣaða,alˠvuɾadɐ,ɾ,v,"cor,lab,strid,hi,lo,son"
deaf,12091,soɾðo,suɾdu,ð,d,cont
deceit,12208,engaɲo,ẽgɐnu,ɲ,n,"ant,cor,hi"
deer,12328,benaðo,viadu,b,v,"cont,strid"
deer,12328,benaðo,viadu,ð,d,cont
deer,12328,θjɛɾβo,viadu,β,d,"cont,cor,lab"
deer,12328,θjɛɾβo,viadu,θ,v,"voi,cor,lab,strid"
defeat,12351,dɛrota,dɨʁɔtɐ,r,ʁ,"ant,cor,back,strid,hi,lo,son"
defendant,12403,akusaðo,ɐkuzadu,s,z,voi
defendant,12403,akusaðo,ɐkuzadu,ð,d,cont
descendants,12547,desendjentes,dɨʃsẽdẽtɨʃ,s,ʃ,ant
descendants,12547,desendjentes,dɨʃsẽdẽtɨʃ,s,ʃ,ant
destroy,12569,dɛstɾwiɾ,dɨʃtɾuiɾ,s,ʃ,ant
dew,12635,roθio,oɾvaʎu,r,ɾ,
difficult,12798,difiθil,difisilˠ,l,lˠ,hi
difficult,12798,difiθil,difisilˠ,θ,s,strid
dig,12827,kaβaɾ,kɐvaɾ,β,v,strid
dig,12827,kaβaɾ,ʃkɐvaɾ,β,v,strid
dig,12827,ɛskaβaɾ,kɐvaɾ,β,v,strid
dig,12827,ɛskaβaɾ,ʃkɐvaɾ,s,ʃ,ant
dig,12827,ɛskaβaɾ,ʃkɐvaɾ,β,v,strid
dinnersupper,12900,θena,ʒɐ̃taɾ,n,t,"voi,nas,son"
dinnersupper,12900,θena,ʒɐ̃taɾ,θ,ʒ,"voi,ant,strid"
dirty,12980,suθjo,suʒu,θ,ʒ,"voi,ant,strid"
disappear,13007,desapaɾeθɛɾ,dɨzɐpɐɾɨseɾ,s,z,voi
disappear,13007,desapaɾeθɛɾ,dɨzɐpɐɾɨseɾ,θ,s,strid
dish,13104,fwente,pɾatu,f,p,"cont,strid"
dish,13104,fwente,pɾatu,w,ɾ,"ant,cor,lab,back,round,hi,lo"
dish,13104,plato,pɾatu,l,ɾ,"hi,lo"
ditch,13205,θanxa,fɔsu,n,s,"cont,voi,nas,strid,son"
ditch,13205,θanxa,fɔsu,θ,f,"cor,lab,strid"
ditch,13205,θanxa,valɐ,n,l,"cont,nas"
ditch,13205,θanxa,valɐ,θ,v,"voi,cor,lab,strid"
divide,13310,diβiðiɾ,dividiɾ,ð,d,cont
divide,13310,diβiðiɾ,dividiɾ,β,v,strid
divorce,13358,diβoɾθjo,divɔɾsju,β,v,strid
divorce,13358,diβoɾθjo,divɔɾsju,θ,s,strid
dog,13402,pɛro,kɐʃɔʁu,p,k,"ant,lab,back,hi"
dog,13402,pɛro,kɐʃɔʁu,r,ʃ,"voi,ant,strid,hi,lo,son"
dog,13402,pɛro,kɐ̃ũ,p,k,"ant,lab,back,hi"
dolphin,13470,dɛlfin,dɛlˠfĩ,l,lˠ,hi
dolphin,13470,dɛlfin,gɔlˠfiɲu,d,g,"ant,cor,back,hi"
dolphin,13470,dɛlfin,gɔlˠfiɲu,l,lˠ,hi
dolphin,13470,dɛlfin,gɔlˠfiɲu,n,ɲ,"ant,cor,hi"
donkey,13490,asno,aʒnu,s,ʒ,"voi,ant"
donkey,13490,asno,buʁu,n,ʁ,"cont,nas,ant,cor,back,strid,son"
donkey,13490,buro,aʒnu,r,n,"cont,nas,hi,lo"
donkey,13490,buro,buʁu,r,ʁ,"ant,cor,back,strid,hi,lo,son"
doormake,13555,aθɛɾ,fɐzeɾ,θ,z,"voi,strid"
doorpost,13580,xamba+ðe+pwɛɾta,õbɾɐiɾɐ+dɐ+pɔɾtɐ,b,ɾ,"cont,cor,lab,hi,lo,son"
doorpost,13580,xamba+ðe+pwɛɾta,õbɾɐiɾɐ+dɐ+pɔɾtɐ,m,ɾ,"cont,nas,cor,lab,hi,lo"
doorpost,13580,xamba+ðe+pwɛɾta,õbɾɐiɾɐ+dɐ+pɔɾtɐ,ð,d,cont
dove,13643,paloma,põbɐ,m,b,"nas,son"
downorbelow,13696,aβaxo,dɨbaiʃu,x,ʃ,"cor,back,strid,hi"
downorbelow,13696,aβaxo,dɨbaiʃu,β,b,cont
downorbelow,13696,aβaxo,ɐbaiʃu,x,ʃ,"cor,back,strid,hi"
downorbelow,13696,aβaxo,ɐbaiʃu,β,b,cont
downorbelow,13696,baxo,dɨbaiʃu,b,d,"cor,lab"
downorbelow,13696,baxo,dɨbaiʃu,x,ʃ,"cor,back,strid,hi"
downorbelow,13696,baxo,ɐbaiʃu,x,ʃ,"cor,back,strid,hi"
downorbelow,13696,deβaxo,dɨbaiʃu,x,ʃ,"cor,back,strid,hi"
downorbelow,13696,deβaxo,dɨbaiʃu,β,b,cont
downorbelow,13696,deβaxo,ɐbaiʃu,x,ʃ,"cor,back,strid,hi"
downorbelow,13696,deβaxo,ɐbaiʃu,β,b,cont
drawmilk,13744,oɾðeɲaɾ,oɾdɨɲaɾ,ð,d,cont
dress,13832,bɛstiðo,vɨʃtidu,b,v,"cont,strid"
dress,13832,bɛstiðo,vɨʃtidu,s,ʃ,ant
dress,13832,bɛstiðo,vɨʃtidu,ð,d,cont
drink,13901,beβɛɾ,tumaɾ,b,t,"voi,cor,lab"
drink,13901,beβɛɾ,tumaɾ,β,m,"cont,nas,son"
dripemitliquid,13953,goteaɾ,ʃkuʁeɾ,g,ʃ,"cont,voi,cor,back,strid,hi"
dripemitliquid,13953,ɛskuriɾ,gutɨʒaɾ,k,t,"ant,cor,back,hi"
dripemitliquid,13953,ɛskuriɾ,gutɨʒaɾ,r,ʒ,"ant,strid,hi,lo,son"
dripemitliquid,13953,ɛskuriɾ,ʃkuʁeɾ,r,ʁ,"ant,cor,back,strid,hi,lo,son"
dripemitliquid,13953,ɛskuriɾ,ʃkuʁeɾ,s,ʃ,ant
dropsomething,14077,dexaɾ+kaɛɾ,dɐiʃaɾ+kɐiɾ,x,ʃ,"cor,back,strid,hi"
drowned,14106,aoɣaðo,ɐfugadu,ð,d,cont
drowned,14106,aoɣaðo,ɐfugadu,ɣ,g,cont
drum,14113,bombo,tɐ̃bɔɾ,b,t,"voi,cor,lab"
drum,14113,bombo,tɐ̃bɔɾ,m,b,"nas,son"
drunk,14149,embɾjaɣaðo,ẽbɾjɐgadu,ð,d,cont
drunk,14149,embɾjaɣaðo,ẽbɾjɐgadu,ɣ,g,cont
drunk,14149,eβɾjo,ẽbɾjɐgadu,β,b,cont
earlobe,14528,loβulo,lɔbulu,β,b,cont
earn,14567,ganaɾ,gɐɲaɾ,n,ɲ,"ant,cor,hi"
earring,14588,aɾɛte,bɾĩku,t,k,"ant,cor,back,hi"
earring,14588,pendjente,bɾĩku,d,ɾ,"cont,hi,lo,son"
earring,14588,pendjente,bɾĩku,p,b,voi
earring,14588,pendjente,bɾĩku,t,k,"ant,cor,back,hi"
earthquake,14612,tembloɾ,tɨʁɨmɔtu,l,m,"cont,nas,cor,lab"
earthquake,14612,tembloɾ,tɨʁɨmɔtu,m,ʁ,"cont,nas,ant,lab,back,strid,son"
earthquake,14612,tembloɾ,tɨʁɨmɔtu,ɾ,t,"cont,voi,hi,lo,son"
earthquake,14612,tɛremoto,tɨʁɨmɔtu,r,ʁ,"ant,cor,back,strid,hi,lo,son"
earwax,14680,θɛɾumen,sɛɾɐ,θ,s,strid
earwax,14680,θɛɾumen,sɨɾumɨ,θ,s,strid
east,14701,leβante,lɛʃtɨ,β,ʃ,"voi,ant,cor,lab,strid"
east,14701,leβante,ʃtɨ,β,ʃ,"voi,ant,cor,lab,strid"
east,14701,ɛste,lɛʃtɨ,s,ʃ,ant
east,14701,ɛste,ʃtɨ,s,ʃ,ant
easy,14765,faθil,fasilˠ,l,lˠ,hi
easy,14765,faθil,fasilˠ,θ,s,strid
edge,14837,boɾðe,bɔɾdɐ,ð,d,cont
edge,14837,maɾxen,bɐiɾɐ,m,b,"nas,son"
edge,14837,maɾxen,bɔɾdɐ,m,b,"nas,son"
edge,14837,maɾxen,bɔɾdɐ,x,d,"cont,voi,ant,cor,back,hi"
edge,14837,oɾiʎa,bɐiɾɐ,ɾ,b,"cont,cor,lab,hi,lo,son"
edge,14837,oɾiʎa,bɐiɾɐ,ʎ,ɾ,"ant,hi,lo"
edge,14837,oɾiʎa,bɔɾdɐ,ʎ,d,"cont,ant,hi,son"
egg,14866,weβo,ɔvu,β,v,strid
elbow,14991,koðo,kutuvɛlu,ð,l,son
eleven,15109,onθe,õzɨ,θ,z,"voi,strid"
elforfairy,15141,aða,fadɐ,ð,d,cont
embers,15206,bɾasas,bɾazɐʃ,s,z,voi
embers,15206,bɾasas,bɾazɐʃ,s,ʃ,ant
embrace,15243,aβɾaθaɾ,ɐbɾɐsaɾ,β,b,cont
embrace,15243,aβɾaθaɾ,ɐbɾɐsaɾ,θ,s,strid
endofspace,15335,ɛstɾemo,iʃtɾɨmidadɨ,s,ʃ,ant
enemy,15467,enemiɣo,inimigu,ɣ,g,cont
envy,15613,embiðja,siumɨ,b,s,"cont,voi,cor,lab,strid"
envy,15613,embiðja,siumɨ,j,m,"cont,nas,ant,lab,hi"
envy,15613,embiðja,ĩvɐʒɐ,b,v,"cont,strid"
envy,15613,embiðja,ĩvɐʒɐ,ð,ʒ,"ant,strid"
evening,15676,bispɛɾas,noitɨ,b,n,"nas,cor,lab,son"
evening,15676,bispɛɾas,noitɨ,s,t,"cont,strid"
evening,15676,bispɛɾas,tɐɾdiɲɐ,b,t,"voi,cor,lab"
evening,15676,bispɛɾas,tɐɾdiɲɐ,p,d,"voi,cor,lab"
evening,15676,bispɛɾas,tɐɾdiɲɐ,s,ɾ,"voi,strid,hi,lo,son"
evening,15676,bispɛɾas,tɐɾdiɲɐ,ɾ,ɲ,"cont,nas,ant,cor,hi,lo"
ewe,15758,oβexa,ovɐʎɐ,x,ʎ,"voi,cor,back,son"
ewe,15758,oβexa,ovɐʎɐ,β,v,strid
explain,15829,ɛsplikaɾ,iʃplikaɾ,s,ʃ,ant
eye,15885,oxo,ɔʎu,x,ʎ,"voi,cor,back,son"
eyebrow,15926,θexa,subɾɐ̃sɐʎɐ,x,ʎ,"voi,cor,back,son"
eyebrow,15926,θexa,subɾɐ̃sɐʎɐ,θ,s,strid
eyelash,15938,pɛstaɲa,pɨʃtɐnɐ,s,ʃ,ant
eyelash,15938,pɛstaɲa,pɨʃtɐnɐ,ɲ,n,"ant,cor,hi"
eyelid,15964,paɾpaðo,palˠpɨbɾɐ,ð,b,"cont,cor,lab"
eyelid,15964,paɾpaðo,palˠpɨbɾɐ,ɾ,lˠ,"hi,lo"
face,16031,kaɾa,ʁɔʃtu,k,ʁ,"cont,voi,strid,hi"
face,16031,kaɾa,ʁɔʃtu,ɾ,t,"cont,voi,hi,lo,son"
fanaction,16237,aβanikaɾ,vẽtilaɾ,k,l,"cont,voi,ant,cor,back,hi,son"
fanaction,16237,aβanikaɾ,vẽtilaɾ,n,t,"voi,nas,son"
fanaction,16237,aβanikaɾ,vẽtilaɾ,β,v,strid
fanaction,16237,aβanikaɾ,ɐbɐnaɾ,β,b,cont
fanaction,16237,aβentaɾ,vẽtilaɾ,t,l,"cont,voi,son"
fanaction,16237,aβentaɾ,ɐbɐnaɾ,β,b,cont
fanaction,16237,bentilaɾ,vẽtilaɾ,b,v,"cont,strid"
fanaction,16237,bentilaɾ,ɐbɐnaɾ,l,n,"cont,nas"
fanaction,16237,bentilaɾ,ɐbɐnaɾ,t,b,"voi,cor,lab"
fanobject,16265,aβaniko,vẽtilɐdoɾ,k,d,"voi,ant,cor,back,hi"
fanobject,16265,aβaniko,vẽtilɐdoɾ,n,l,"cont,nas"
fanobject,16265,aβaniko,vẽtilɐdoɾ,β,t,"cont,voi,cor,lab"
far,16291,lexos,lõʒɨ,x,ʒ,"voi,cor,back,strid,hi"
farmer,16301,aɣɾikultoɾ,fɐzẽdɐiɾu,k,d,"voi,ant,cor,back,hi"
farmer,16301,aɣɾikultoɾ,fɐzẽdɐiɾu,l,ɾ,"hi,lo"
farmer,16301,aɣɾikultoɾ,fɐzẽdɐiɾu,ɾ,z,"strid,hi,lo,son"
farmer,16301,aɣɾikultoɾ,lɐvɾɐdoɾ,k,v,"cont,voi,ant,lab,back,strid,hi"
farmer,16301,aɣɾikultoɾ,lɐvɾɐdoɾ,t,d,voi
farmer,16301,aɣɾikultoɾ,lɐvɾɐdoɾ,ɾ,l,"hi,lo"
farmer,16301,laβɾaðoɾ,fɐzẽdɐiɾu,l,f,"voi,cor,lab,strid,son"
farmer,16301,laβɾaðoɾ,fɐzẽdɐiɾu,β,z,"cor,lab,strid"
farmer,16301,laβɾaðoɾ,lɐvɾɐdoɾ,ð,d,cont
farmer,16301,laβɾaðoɾ,lɐvɾɐdoɾ,β,v,strid
farmer,16301,rantʃɛɾo,fɐzẽdɐiɾu,n,z,"cont,nas,strid,son"
farmer,16301,rantʃɛɾo,fɐzẽdɐiɾu,r,f,"voi,cor,lab,strid,hi,lo,son"
farmer,16301,rantʃɛɾo,lɐvɾɐdoɾ,n,v,"cont,nas,cor,lab,strid,son"
farmer,16301,rantʃɛɾo,lɐvɾɐdoɾ,r,l,"hi,lo"
farmer,16301,rantʃɛɾo,lɐvɾɐdoɾ,ɾ,d,"cont,hi,lo,son"
fart,16333,flato,pɐidu,f,p,"cont,strid"
fart,16333,flato,pɐidu,t,d,voi
fast,16359,rapiðo,liʒɐiɾu,p,ʒ,"cont,voi,ant,cor,lab,strid"
fast,16359,rapiðo,liʒɐiɾu,r,l,"hi,lo"
fast,16359,rapiðo,liʒɐiɾu,ð,ɾ,"hi,lo,son"
fast,16359,rapiðo,ʁapidu,r,ʁ,"ant,cor,back,strid,hi,lo,son"
fast,16359,rapiðo,ʁapidu,ð,d,cont
fatherinlawofman,16428,sweɣɾo,sɔgɾu,ɣ,g,cont
fathom,16473,bɾaθa,palˠmu,b,p,voi
fathom,16473,bɾaθa,palˠmu,θ,m,"cont,voi,nas,cor,lab,son"
fearfright,16617,mjeðo,medu,ð,d,cont
fearfright,16617,mjeðo,suʃtu,m,s,"cont,voi,nas,cor,lab,strid,son"
fearfright,16617,mjeðo,suʃtu,ð,t,"cont,voi"
fearfright,16617,susto,medu,s,m,"cont,voi,nas,cor,lab,strid,son"
fearfright,16617,susto,medu,t,d,voi
fearfright,16617,susto,suʃtu,s,ʃ,ant
feather,16660,pluma,pɛnɐ,m,n,"cor,lab"
felt,16773,fjɛltɾo,fɛlˠtɾu,l,lˠ,hi
fever,16872,fjeβɾe,fɛbɾɨ,β,b,cont
fig,16997,iɣo,figu,ɣ,g,cont
fin,17045,alɛta,bɐɾbɐtɐnɐ,l,ɾ,"hi,lo"
find,17054,aʎaɾ,ɐʃaɾ,ʎ,ʃ,"voi,strid,hi,son"
finish,17254,akaβaɾ,kõplɨtaɾ,k,p,"ant,lab,back,hi"
finish,17254,akaβaɾ,kõplɨtaɾ,β,t,"cont,voi,cor,lab"
finish,17254,akaβaɾ,ɐkɐbaɾ,β,b,cont
finish,17254,finaliθaɾ,kõplɨtaɾ,f,k,"cont,ant,lab,back,strid,hi"
finish,17254,finaliθaɾ,kõplɨtaɾ,n,p,"voi,nas,cor,lab,son"
finish,17254,finaliθaɾ,kõplɨtaɾ,θ,t,cont
finish,17254,finaliθaɾ,ɐkɐbaɾ,n,k,"voi,nas,ant,cor,back,hi,son"
finish,17254,finaliθaɾ,ɐkɐbaɾ,θ,b,"cont,voi,cor,lab"
finish,17254,tɛɾminaɾ,kõplɨtaɾ,m,l,"cont,nas,cor,lab"
finish,17254,tɛɾminaɾ,kõplɨtaɾ,n,t,"voi,nas,son"
finish,17254,tɛɾminaɾ,kõplɨtaɾ,t,k,"ant,cor,back,hi"
finish,17254,tɛɾminaɾ,kõplɨtaɾ,ɾ,p,"cont,voi,cor,lab,hi,lo,son"
finish,17254,tɛɾminaɾ,ɐkɐbaɾ,m,k,"voi,nas,ant,lab,back,hi,son"
finish,17254,tɛɾminaɾ,ɐkɐbaɾ,n,b,"nas,cor,lab,son"
fir,17320,aβɛto,ɐbɛtu,β,b,cont
firefly,17377,luθjɛɾnaɣa,piɾilɐ̃pu,l,p,"cont,voi,cor,lab,son"
firefly,17377,luθjɛɾnaɣa,piɾilɐ̃pu,n,l,"cont,nas"
firefly,17377,luθjɛɾnaɣa,piɾilɐ̃pu,ɣ,p,"cont,voi,ant,lab,back,hi"
firefly,17377,luθjɛɾnaɣa,piɾilɐ̃pu,θ,ɾ,"voi,hi,lo,son"
firefly,17377,luθjɛɾnaɣa,vɐgɐlumɨ,j,g,"cont,back,son"
firefly,17377,luθjɛɾnaɣa,vɐgɐlumɨ,l,v,"cor,lab,strid,son"
firefly,17377,luθjɛɾnaɣa,vɐgɐlumɨ,n,l,"cont,nas"
firefly,17377,luθjɛɾnaɣa,vɐgɐlumɨ,ɣ,m,"cont,nas,ant,lab,back,hi,son"
fireplace,17384,foɣon,lɐɾɐiɾɐ,f,l,"voi,cor,lab,strid,son"
fireplace,17384,foɣon,lɐɾɐiɾɐ,ɣ,ɾ,"ant,cor,back,hi,lo,son"
fish,17492,pɛskaðo,pɐiʃɨ,s,ʃ,ant
fisherman,17544,pɛskaðoɾ,pɨʃkɐdoɾ,s,ʃ,ant
fisherman,17544,pɛskaðoɾ,pɨʃkɐdoɾ,ð,d,cont
fishingline,17621,kwɛɾða+ðe+pɛskaɾ,liɲɐ+dɨ+pɛʃkɐ,s,ʃ,ant
fishingline,17621,kwɛɾða+ðe+pɛskaɾ,liɲɐ+dɨ+pɛʃkɐ,w,l,"ant,cor,lab,back,round,hi"
fishingline,17621,kwɛɾða+ðe+pɛskaɾ,liɲɐ+dɨ+pɛʃkɐ,ð,d,cont
fishingline,17621,kwɛɾða+ðe+pɛskaɾ,liɲɐ+dɨ+pɛʃkɐ,ð,ɲ,"cont,nas,ant,cor,hi,son"
fishnet,17626,ataraʝa,ʁɛdɨ,ʝ,d,"cont,ant,cor,hi"
fishnet,17626,rɛð,ʁɛdɨ,r,ʁ,"ant,cor,back,strid,hi,lo,son"
fishnet,17626,rɛð,ʁɛdɨ,ð,d,cont
five,17702,θinko,sĩku,θ,s,strid
flame,17732,ʎama,ʃɐmɐ,ʎ,ʃ,"voi,strid,hi,son"
flaxorlinen,17793,lino,liɲu,n,ɲ,"ant,cor,hi"
floor,17954,swelo,suaʎu,l,ʎ,"ant,hi"
floor,17954,swelo,ʃɐ̃ũ,s,ʃ,ant
flour,18014,aɾina,fɐɾiɲɐ,n,ɲ,"ant,cor,hi"
flowingbodyofwater,18162,korjente,ʁjaʃu,k,ʁ,"cont,voi,strid,hi"
flowingbodyofwater,18162,korjente,ʁjaʃu,t,ʃ,"cont,ant,strid"
flowingbodyofwater,18162,korjente,ʁjɔ,k,ʁ,"cont,voi,strid,hi"
flyinsect,18239,moska,mɔʃkɐ,s,ʃ,ant
flymovethroughair,18289,bolaɾ,vuaɾ,b,v,"cont,strid"
foam,18327,ɛspuma,ʃpumɐ,s,ʃ,ant
fog,18346,neβlina,nɛvuɐ,β,v,strid
fog,18346,neβlina,nɨvuɐiɾu,n,ɾ,"cont,nas,hi,lo"
fog,18346,neβlina,nɨvuɐiɾu,β,v,strid
fog,18346,njeβla,nɛvuɐ,β,v,strid
fog,18346,njeβla,nɨvuɐiɾu,l,ɾ,"hi,lo"
fold,18393,doβlaɾ,dubɾaɾ,l,ɾ,"hi,lo"
fold,18393,doβlaɾ,dubɾaɾ,β,b,cont
follow,18433,seɣiɾ,sɨgiɾ,ɣ,g,cont
forbid,18656,pɾoiβiɾ,pɾoibiɾ,β,b,cont
forest,18744,sɛlβa,fluɾɛʃtɐ,l,ʃ,"voi,ant,strid,son"
