Bulgarian,Romanian,Ancient Greek,Judeo-Tat,Serbo-Croatian,Seychelles Creole,Albanian (Tosk variety),Armenian (Eastern variety),Armenian (Western variety),Yiddish,Breton,Spanish,Lower Sorbian,Romani,Modern Greek,Portuguese,Jamaican Creole (Limonese Creole dialect),Selice Romani,Persian,Dutch,English,Hindi,Saramaccan,Old High German,Lithuanian,Negerhollands,Old Church Slavonic,Croatian,Romanian,Irish,Latvian,Italian,Ossetian,Portuguese,Western Farsi,French,Slovak,Spanish,Bulgarian,Northern Pashto,Standard Albanian,Dutch,Welsh,Swedish,Icelandic,Modern Greek,Czech,Catalan,Polish,Norwegian (Bokmål)
3.4304,2.6016,3.3514,3.4241,3.3322,2.7453,3.1177,3.3694,3.3514,3.2514,2.8606,0.0000,3.5920,3.1403,3.3276,1.5937,2.4997,3.3726,3.3476,2.9950,2.4478,3.1347,2.9361,3.3082,3.5585,2.7633,3.2927,3.3952,2.2370,3.4401,3.5627,1.2303,3.9017,1.2942,3.3319,2.9773,3.7755,0.4622,3.4404,3.1988,2.8119,2.8863,2.8123,2.9198,2.9401,3.3603,3.6186,1.3400,3.3383,2.5298
2.9444,3.0973,3.6826,3.5947,2.5697,3.4027,3.6201,3.8892,3.8963,3.2776,3.5472,3.5920,0.0000,3.4364,3.5719,3.5698,3.0546,3.4926,3.7045,2.8827,2.7899,3.6194,3.2769,3.3973,3.2762,3.0687,2.4045,1.9277,3.2840,3.6200,3.2051,3.4643,4.0588,3.5600,3.5765,3.5650,1.8179,3.5829,2.2565,3.6000,3.3065,2.8156,3.2656,2.6648,3.1071,3.5995,1.9020,3.1901,1.6034,2.6306
3.1262,2.7682,3.3216,3.3810,2.9631,3.4530,3.2875,3.4806,3.4883,3.2399,3.4629,3.1403,3.4364,0.0000,3.2598,3.1759,3.0000,2.5076,3.0739,3.2303,3.0748,2.8446,3.4837,3.3095,3.3209,3.0957,3.0623,3.0442,2.4273,3.5612,3.2635,2.8177,3.4610,3.1065,2.8466,3.4949,3.2490,2.8942,2.9178,3.2363,3.1793,2.9427,2.8402,2.9486,2.8264,3.1637,2.9133,3.1577,3.0750,2.9669
3.2984,3.1882,1.9580,3.4690,3.3384,3.2793,3.2334,3.6049,3.5882,3.4452,3.3715,3.3276,3.5719,3.2598,0.0000,3.3230,2.9678,3.4009,3.4286,3.1635,3.0174,3.4671,3.2991,3.5908,3.3098,2.9878,3.3333,3.3898,3.1810,3.7187,3.0785,3.2317,3.5338,3.2799,3.2915,3.3846,3.5538,3.2277,3.2646,3.7593,3.2266,3.0203,3.1737,3.0547,3.3194,0.6308,3.4127,3.0083,3.3988,2.9888
3.3767,2.6750,3.3764,3.3854,3.2704,2.8132,3.2550,3.4281,3.4025,3.3490,3.0046,1.5937,3.5698,3.1759,3.3230,0.0000,2.7519,3.4802,3.4901,3.2018,2.6817,3.3863,3.1136,3.4161,3.5945,2.9964,3.1425,3.1463,2.3411,3.3520,3.3421,1.2546,3.5367,0.6790,3.0648,2.5736,3.5775,1.1119,3.3333,3.3182,2.8909,2.9646,2.6376,2.8790,3.0542,3.2628,3.3592,1.5867,3.1850,2.7197
3.0180,2.6153,3.0209,3.1324,2.8544,2.7131,3.0211,3.5103,3.4810,2.5235,2.6046,2.4997,3.0546,3.0000,2.9678,2.7519,0.0000,3.0388,3.2532,1.8694,0.5037,2.9578,2.2011,1.9269,2.7616,1.3502,2.8761,2.7027,2.2251,2.7367,2.5633,2.0435,3.0507,2.5710,2.7090,2.8247,2.7957,2.1500,2.6878,3.1600,2.6768,1.2800,2.2520,1.5576,1.6677,2.7942,2.6581,2.0431,2.8073,1.2511
3.1277,3.1284,3.4029,3.3060,3.0000,3.2933,3.1820,3.3903,3.3941,2.9551,3.3022,3.3726,3.4926,2.5076,3.4009,3.4802,3.0388,0.0000,3.1086,3.1799,2.9082,3.2170,3.2294,2.9983,3.4439,3.0600,3.0546,3.1090,3.1925,3.6415,3.1513,3.3301,3.1295,3.3843,2.7721,3.6933,3.3694,3.4497,3.1556,3.3827,3.4701,3.2662,3.5038,3.2143,3.2727,3.2546,3.0562,3.4747,3.2759,3.0096
3.2083,3.1806,3.4146,2.4315,3.3567,3.5237,3.3471,3.3788,3.3901,3.2878,3.3166,3.3476,3.7045,3.0739,3.4286,3.4901,3.2532,3.1086,0.0000,3.3504,3.3114,2.1185,3.4590,3.3582,3.2283,3.2191,3.2204,3.1471,3.0539,3.6732,2.9623,2.9922,2.6774,3.1687,0.4439,3.3731,3.2867,3.2875,3.0000,1.8810,3.0439,2.8408,3.0783,2.7978,2.8832,3.2730,3.1853,3.3052,3.2009,2.5592
3.2087,2.7609,3.2407,3.3520,3.0545,3.1043,3.2281,3.5840,3.5822,2.1289,2.9394,2.9950,2.8827,3.2303,3.1635,3.2018,1.8694,3.1799,3.3504,0.0000,1.7606,3.3122,2.5372,1.6952,3.1754,1.2585,3.2161,2.8117,2.8998,3.2049,2.9929,2.7288,3.5059,2.9202,3.0357,3.5131,2.9939,2.9561,3.0751,3.5559,3.0314,0.2840,2.9751,1.0685,1.5628,3.0447,3.0172,2.9022,3.0166,0.9873
2.9771,2.3720,2.9849,3.2497,2.7637,2.5977,3.0663,3.4827,3.4661,2.3408,2.4420,2.4478,2.7899,3.0748,3.0174,2.6817,0.5037,2.9082,3.3114,1.7606,0.0000,3.1258,2.1202,1.9141,2.7523,1.3646,2.8230,2.7164,2.1520,2.9013,2.7372,1.8394,3.1391,2.6038,3.0102,3.0596,2.8507,1.8016,2.6453,3.1398,2.8519,1.2585,2.5021,1.2962,1.4646,2.7687,2.6618,2.1604,2.8715,1.1761
3.3971,3.3053,3.4353,2.7725,3.2293,3.4543,3.1572,3.5160,3.5503,3.3724,3.3861,3.1347,3.6194,2.8446,3.4671,3.3863,2.9578,3.2170,2.1185,3.3122,3.1258,0.0000,3.2974,3.3569,3.5690,3.3903,3.2626,3.2057,3.2447,3.7860,3.3560,3.0544,3.2926,3.3475,2.4265,3.5505,3.3131,3.2118,3.2733,2.8251,3.4081,3.2650,3.4030,3.2291,3.2646,3.3167,3.2621,3.2618,3.5046,3.0981
3.2087,3.0717,3.4202,3.3438,3.1591,3.1219,3.3687,3.5659,3.5171,3.1068,3.1965,2.9361,3.2769,3.4837,3.2991,3.1136,2.2011,3.2294,3.4590,2.5372,2.1202,3.2974,0.0000,2.6194,3.1337,2.1849,3.0767,2.8436,2.8357,3.6129,3.2176,2.5210,3.3282,2.6011,3.2982,3.0096,3.1000,2.6084,3.0234,3.7143,3.0757,2.1538,3.2071,2.2972,2.4971,2.9685,3.1343,2.8895,3.2634,2.5029
3.3722,3.2751,3.5060,3.5219,3.2503,3.4256,3.2553,3.4489,3.4485,1.8280,3.1477,3.3082,3.3973,3.3095,3.5908,3.4161,1.9269,2.9983,3.3582,1.6952,1.9141,3.3569,2.6194,0.0000,3.4515,1.3758,3.3093,3.0805,2.9808,3.4272,2.9905,2.8480,3.0236,3.3342,2.6743,3.6199,3.4713,3.0951,3.0341,3.0824,3.5898,1.1872,2.7349,1.3562,1.4623,3.6605,3.0182,2.8553,2.9855,1.0965
3.3494,3.2165,2.9407,3.5168,2.7489,3.3642,3.5270,3.7685,3.8114,3.4598,3.4309,3.5585,3.2762,3.3209,3.3098,3.5945,2.7616,3.4439,3.2283,3.1754,2.7523,3.5690,3.1337,3.4515,0.0000,3.1365,2.5441,2.8172,3.3670,3.5708,2.1268,3.6054,3.7394,3.6301,3.3907,3.5833,3.1552,3.5471,3.1655,3.7573,3.4338,3.2258,3.4221,3.3318,3.2149,3.2551,3.0651,3.3932,3.3257,3.1266
2.9679,2.7847,3.0384,3.0091,2.9676,3.2582,3.0598,3.4393,3.4800,2.1282,2.8258,2.7633,3.0687,3.0957,2.9878,2.9964,1.3502,3.0600,3.2191,1.2585,1.3646,3.3903,2.1849,1.3758,3.1365,0.0000,3.0798,2.8192,2.6737,3.1179,3.1679,2.3698,3.1714,2.8399,2.8990,3.2826,2.9600,2.7695,3.0670,3.4153,3.0619,0.8346,2.8220,1.4196,1.7005,3.1556,2.9804,2.6133,3.1792,1.1509
1.9602,3.0176,3.4174,3.4040,1.5666,3.1398,3.1764,3.6219,3.5895,3.1691,3.3503,3.2927,2.4045,3.0623,3.3333,3.1425,2.8761,3.0546,3.2204,3.2161,2.8230,3.2626,3.0767,3.3093,2.5441,3.0798,0.0000,1.0767,2.7159,3.4373,2.4553,3.2544,3.4647,3.2429,3.1014,3.2055,1.3571,3.3010,1.2771,3.4007,3.1003,2.8234,3.1188,2.5774,2.8901,3.2329,1.1438,3.2615,1.7844,2.6253
1.6667,2.6591,3.2459,3.1669,0.7890,3.1985,2.9982,3.4526,3.3974,3.0015,3.2703,3.3952,1.9277,3.0442,3.3898,3.1463,2.7027,3.1090,3.1471,2.8117,2.7164,3.2057,2.8436,3.0805,2.8172,2.8192,1.0767,0.0000,2.7121,3.6682,2.6431,3.2180,3.4945,3.3595,3.1138,3.4516,1.7832,3.4269,1.5323,3.3477,3.0263,2.9788,3.3413,2.9439,3.0125,3.3501,1.6041,3.1070,2.0889,2.9008
3.0299,0.5946,3.2238,3.2232,2.6094,2.5517,2.8543,3.2970,3.3294,2.9032,2.4447,2.2370,3.2840,2.4273,3.1810,2.3411,2.2251,3.1925,3.0539,2.8998,2.1520,3.2447,2.8357,2.9808,3.3670,2.6737,2.7159,2.7121,0.0000,3.4022,3.2367,1.8908,3.4636,2.3549,3.1896,2.9040,3.0574,1.9737,2.7413,3.3357,2.7788,3.0010,2.7666,2.9455,3.0335,3.0226,3.0479,1.9969,3.2079,2.8135
3.4429,3.4632,3.7171,3.5479,3.4818,3.7094,3.6047,3.8222,3.7111,3.2019,2.9491,3.4401,3.6200,3.5612,3.7187,3.3520,2.7367,3.6415,3.6732,3.2049,2.9013,3.7860,3.6129,3.4272,3.5708,3.1179,3.4373,3.6682,3.4022,0.0000,3.5985,3.1691,3.8368,3.4141,3.6920,3.7581,3.5148,3.3101,3.5696,3.8211,3.5116,3.2895,2.9924,3.3342,3.3754,3.5835,3.6589,3.2389,3.7821,3.2767
3.1559,3.0869,2.8440,3.3522,2.6114,3.2996,3.2418,3.5725,3.5095,3.3702,3.1917,3.5627,3.2051,3.2635,3.0785,3.3421,2.5633,3.1513,2.9623,2.9929,2.7372,3.3560,3.2176,2.9905,2.1268,3.1679,2.4553,2.6431,3.2367,3.5985,0.0000,3.2345,3.4484,3.4903,3.0854,3.4990,2.8701,3.4031,3.0451,3.3496,3.5577,3.1101,3.3064,3.0605,3.1270,3.0934,2.4676,3.2934,3.2275,3.0290
3.1607,1.9043,3.3323,3.1330,3.1929,2.3509,2.8521,3.3943,3.4254,2.9124,2.2071,1.2303,3.4643,2.8177,3.2317,1.2546,2.0435,3.3301,2.9922,2.7288,1.8394,3.0544,2.5210,2.8480,3.6054,2.3698,3.2544,3.2180,1.8908,3.1691,3.2345,0.0000,3.6273,1.4131,3.1960,2.4143,3.0576,1.0681,3.0240,3.4082,2.6189,2.6409,2.6548,2.7232,2.9161,3.0903,3.3377,1.3741,3.3222,2.5672
3.2762,3.4890,3.4567,3.2075,3.3822,3.7520,3.3278,3.4560,3.3248,3.0753,3.3704,3.9017,4.0588,3.4610,3.5338,3.5367,3.0507,3.1295,2.6774,3.5059,3.1391,3.2926,3.3282,3.0236,3.7394,3.1714,3.4647,3.4945,3.4636,3.8368,3.4484,3.6273,0.0000,3.5478,2.8335,3.7396,3.7609,3.5093,3.2892,3.3505,3.5956,3.4698,3.2387,3.3169,3.5891,3.4943,3.3533,3.6709,3.5621,3.2393
3.4918,2.3481,3.3993,3.3912,3.3577,2.5986,2.8954,3.2145,3.2123,3.0686,2.7831,1.2942,3.5600,3.1065,3.2799,0.6790,2.5710,3.3843,3.1687,2.9202,2.6038,3.3475,2.6011,3.3342,3.6301,2.8399,3.2429,3.3595,2.3549,3.4141,3.4903,1.4131,3.5478,0.0000,3.2982,2.5877,3.6071,1.1269,3.2617,3.3498,2.9809,2.9667,3.0442,3.1260,3.2957,3.2652,3.4544,1.6505,3.3345,2.9917
2.9472,3.0351,3.2012,1.9747,2.9957,3.3309,3.1381,3.0851,3.3087,2.9113,3.2820,3.3319,3.5765,2.8466,3.2915,3.0648,2.7090,2.7721,0.4439,3.0357,3.0102,2.4265,3.2982,2.6743,3.3907,2.8990,3.1014,3.1138,3.1896,3.6920,3.0854,3.1960,2.8335,3.2982,0.0000,3.5856,3.5466,3.2196,3.2035,2.0711,3.2573,2.9821,3.2098,3.0641,3.0644,3.2652,3.4195,3.2974,3.3131,2.8560
3.4051,2.5858,3.4858,3.5396,3.1738,1.0776,3.5809,3.6854,3.6602,3.5681,2.9451,2.9773,3.5650,3.4949,3.3846,2.5736,2.8247,3.6933,3.3731,3.5131,3.0596,3.5505,3.0096,3.6199,3.5833,3.2826,3.2055,3.4516,2.9040,3.7581,3.4990,2.4143,3.7396,2.5877,3.5856,0.0000,3.4392,2.7953,3.3762,3.6693,3.4337,3.4187,3.2889,3.3787,3.3392,3.3518,3.4535,2.6071,3.4152,3.3297
2.1001,2.8247,3.4136,3.2629,1.5335,3.3776,3.6204,3.9466,3.8382,3.2210,3.2037,3.7755,1.8179,3.2490,3.5538,3.5775,2.7957,3.3694,3.2867,2.9939,2.8507,3.3131,3.1000,3.4713,3.1552,2.9600,1.3571,1.7832,3.0574,3.5148,2.8701,3.0576,3.7609,3.6071,3.5466,3.4392,0.0000,3.6408,1.7749,3.5343,3.3322,2.9701,3.2325,2.9396,3.0691,3.5628,0.9780,3.3493,1.5065,2.8591
3.4832,1.7459,3.1353,3.2933,3.2747,2.3952,2.8337,3.2422,3.1930,3.0874,2.5864,0.4622,3.5829,2.8942,3.2277,1.1119,2.1500,3.4497,3.2875,2.9561,1.8016,3.2118,2.6084,3.0951,3.5471,2.7695,3.3010,3.4269,1.9737,3.3101,3.4031,1.0681,3.5093,1.1269,3.2196,2.7953,3.6408,0.0000,3.2303,3.2243,2.9429,2.7969,2.8045,2.8815,2.9985,3.1638,3.5525,1.1876,3.5300,2.7301
0.7894,2.5576,3.4272,3.1845,1.3771,3.1877,3.1622,3.5276,3.4548,3.0502,3.2593,3.4404,2.2565,2.9178,3.2646,3.3333,2.6878,3.1556,3.0000,3.0751,2.6453,3.2733,3.0234,3.0341,3.1655,3.0670,1.2771,1.5323,2.7413,3.5696,3.0451,3.0240,3.2892,3.2617,3.2035,3.3762,1.7749,3.2303,0.0000,3.3329,3.0492,3.0503,3.0874,2.9494,3.1934,3.3164,1.7705,2.9689,1.8449,2.9464
3.6135,3.3062,3.7465,2.4297,3.5092,3.6167,3.2463,3.2060,3.1987,3.2105,3.4011,3.1988,3.6000,3.2363,3.7593,3.3182,3.1600,3.3827,1.8810,3.5559,3.1398,2.8251,3.7143,3.0824,3.7573,3.4153,3.4007,3.3477,3.3357,3.8211,3.3496,3.4082,3.3505,3.3498,2.0711,3.6693,3.5343,3.2243,3.3329,0.0000,3.5030,3.4026,3.5000,3.4021,3.3710,3.5165,3.5660,3.4658,3.6609,3.2538
3.2777,2.5731,3.5777,3.1257,3.0309,3.3117,0.9504,3.5519,3.4261,3.3643,2.9045,2.8119,3.3065,3.1793,3.2266,2.8909,2.6768,3.4701,3.0439,3.0314,2.8519,3.4081,3.0757,3.5898,3.4338,3.0619,3.1003,3.0263,2.7788,3.5116,3.5577,2.6189,3.5956,2.9809,3.2573,3.4337,3.3322,2.9429,3.0492,3.5030,0.0000,3.1217,3.2201,2.9228,2.9720,3.1799,3.4113,2.9123,3.4120,2.8469
3.0529,2.6407,3.0556,2.9849,2.7819,3.2866,3.1069,3.2437,3.3105,1.5080,2.5966,2.8863,2.8156,2.9427,3.0203,2.9646,1.2800,3.2662,2.8408,0.2840,1.2585,3.2650,2.1538,1.1872,3.2258,0.8346,2.8234,2.9788,3.0010,3.2895,3.1101,2.6409,3.4698,2.9667,2.9821,3.4187,2.9701,2.7969,3.0503,3.4026,3.1217,0.0000,2.9824,1.3623,1.9264,3.0976,3.0874,2.8811,3.0406,1.1361
3.2007,2.6077,2.9488,3.0198,3.1495,3.0842,3.1756,3.2101,3.3087,3.1584,1.4486,2.8123,3.2656,2.8402,3.1737,2.6376,2.2520,3.5038,3.0783,2.9751,2.5021,3.4030,3.2071,2.7349,3.4221,2.8220,3.1188,3.3413,2.7666,2.9924,3.3064,2.6548,3.2387,3.0442,3.2098,3.2889,3.2325,2.8045,3.0874,3.5000,3.2201,2.9824,0.0000,2.8587,3.0000,3.0936,3.3283,2.7955,3.3475,2.8435
3.0341,2.6700,2.9531,2.9352,2.6466,3.1208,2.9977,3.3656,3.4685,1.6310,2.6675,2.9198,2.6648,2.9486,3.0547,2.8790,1.5576,3.2143,2.7978,1.0685,1.2962,3.2291,2.2972,1.3562,3.3318,1.4196,2.5774,2.9439,2.9455,3.3342,3.0605,2.7232,3.3169,3.1260,3.0641,3.3787,2.9396,2.8815,2.9494,3.4021,2.9228,1.3623,2.8587,0.0000,1.5084,3.1558,2.9349,2.8394,3.0156,0.4618
3.0164,2.8252,3.2158,3.3728,2.7730,3.0423,3.1483,3.3857,3.5546,2.1752,2.9244,2.9401,3.1071,2.8264,3.3194,3.0542,1.6677,3.2727,2.8832,1.5628,1.4646,3.2646,2.4971,1.4623,3.2149,1.7005,2.8901,3.0125,3.0335,3.3754,3.1270,2.9161,3.5891,3.2957,3.0644,3.3392,3.0691,2.9985,3.1934,3.3710,2.9720,1.9264,3.0000,1.5084,0.0000,3.3126,3.1273,3.1217,3.4745,1.2402
3.2170,2.9582,1.8360,3.3474,3.3814,3.4103,3.1060,3.5913,3.5689,3.3137,3.1667,3.3603,3.5995,3.1637,0.6308,3.2628,2.7942,3.2546,3.2730,3.0447,2.7687,3.3167,2.9685,3.6605,3.2551,3.1556,3.2329,3.3501,3.0226,3.5835,3.0934,3.0903,3.4943,3.2652,3.2652,3.3518,3.5628,3.1638,3.3164,3.5165,3.1799,3.0976,3.0936,3.1558,3.3126,0.0000,3.4119,3.0727,3.5632,3.0517
2.0927,2.7414,3.2085,3.1693,1.3173,3.3975,3.1366,3.4819,3.4386,2.9539,3.3118,3.6186,1.9020,2.9133,3.4127,3.3592,2.6581,3.0562,3.1853,3.0172,2.6618,3.2621,3.1343,3.0182,3.0651,2.9804,1.1438,1.6041,3.0479,3.6589,2.4676,3.3377,3.3533,3.4544,3.4195,3.4535,0.9780,3.5525,1.7705,3.5660,3.4113,3.0874,3.3283,2.9349,3.1273,3.4119,0.0000,3.3752,1.6775,2.9651
3.1776,1.9171,3.3018,3.2421,3.1008,2.3455,2.7489,3.4221,3.4811,3.0722,2.3535,1.3400,3.1901,3.1577,3.0083,1.5867,2.0431,3.4747,3.3052,2.9022,2.1604,3.2618,2.8895,2.8553,3.3932,2.6133,3.2615,3.1070,1.9969,3.2389,3.2934,1.3741,3.6709,1.6505,3.2974,2.6071,3.3493,1.1876,2.9689,3.4658,2.9123,2.8811,2.7955,2.8394,3.1217,3.0727,3.3752,0.0000,3.3822,2.7149
2.0276,3.0363,3.4813,3.2901,1.8536,3.3033,3.3702,3.5585,3.4908,2.8232,3.3551,3.3383,1.6034,3.0750,3.3988,3.1850,2.8073,3.2759,3.2009,3.0166,2.8715,3.5046,3.2634,2.9855,3.3257,3.1792,1.7844,2.0889,3.2079,3.7821,3.2275,3.3222,3.5621,3.3345,3.3131,3.4152,1.5065,3.5300,1.8449,3.6609,3.4120,3.0406,3.3475,3.0156,3.4745,3.5632,1.6775,3.3822,0.0000,3.0496
2.9453,2.5959,2.9627,2.8878,2.6082,3.0488,2.9918,3.0102,3.2398,1.6574,2.7371,2.5298,2.6306,2.9669,2.9888,2.7197,1.2511,3.0096,2.5592,0.9873,1.1761,3.0981,2.5029,1.0965,3.1266,1.1509,2.6253,2.9008,2.8135,3.2767,3.0290,2.5672,3.2393,2.9917,2.8560,3.3297,2.8591,2.7301,2.9464,3.2538,2.8469,1.1361,2.8435,0.4618,1.2402,3.0517,2.9651,2.7149,3.0496,0.0000
